Type,Cost,Amount,Coin,Fees,Status,Date,Decode,Exchange
Buy,0.01350000,300,XLM,0.0000216,COMPLETED,"February 2, 2018",BTC,Kraken
Sell,0.00529200,0.28,LTC,0.00000847,COMPLETED,"March 2, 2018",BTC,Kraken
Buy,0.00493200,60,XRP,0.000012823,COMPLETED,"March 2, 2018",BTC,Kraken
Sell,0.00029952,0.00199681,BCH,0.00000048,COMPLETED,"April 23, 2018",BTC,Kraken
Sell,0.00000048,0.00000318,BCH,0,COMPLETED,"April 23, 2018",BTC,Kraken
Buy,0.00169000,0.1,LTC,0.0000027,COMPLETED,"April 25, 2018",BTC,Kraken
Sell,0.00099,10,XRP,0.00000099,COMPLETED,"November 18, 2018",BTC,WazirX
Sell,0.00147223,0.087737,LTC,0.00000147,COMPLETED,"January 9, 2018",BTC,Kucoin
Buy,0.00147076,4.4689,DRGN,0.0044689,COMPLETED,"January 9, 2018",BTC,Kucoin
Sell,0.0025288,0.148578,LTC,0.00000253,COMPLETED,"January 10, 2018",BTC,Kucoin
Buy,0.00252621,3.9472,EOS,0.0039472,COMPLETED,"January 10, 2018",BTC,Kucoin
Sell,0.02026758,1.9432,EOS,0.00002027,COMPLETED,"January 12, 2018",ETH,Kucoin
Buy,0.0202473,0.751152,NEBL,0.00075115,COMPLETED,"January 12, 2018",ETH,Kucoin
Sell,0.10946226,0.5882,LTC,0.00010946,COMPLETED,"January 13, 2018",ETH,Kucoin
Sell,0.00532604,0.3133,LTC,0.00000533,COMPLETED,"January 13, 2018",BTC,Kucoin
Buy,0.00353246,3.996,CVC,0.003996,COMPLETED,"January 13, 2018",ETH,Kucoin
Buy,0.00530754,6.004,CVC,0.006004,COMPLETED,"January 13, 2018",ETH,Kucoin
Buy,0.00170175,1.001,NANO,0.001001,COMPLETED,"January 14, 2018",BTC,Kucoin
Buy,0.00186833,0.176253,NEO,0.00017625,COMPLETED,"January 14, 2018",BTC,Kucoin
Buy,0.00175069,0.165155,NEO,0.00016516,COMPLETED,"January 14, 2018",BTC,Kucoin
Sell,46.726042,0.341066,NEO,0.04672604,COMPLETED,"January 14, 2018",USDT,Kucoin
Buy,46.67930887,0.00361827,BTC,0.00000362,COMPLETED,"January 14, 2018",USDT,Kucoin
Buy,0.00361462,0.323603,NEO,0.0003236,COMPLETED,"January 14, 2018",BTC,Kucoin
Sell,0.00368239,0.323279,NEO,0.00000368,COMPLETED,"January 14, 2018",BTC,Kucoin
Buy,0.00367873,0.322979,NEO,0.00032298,COMPLETED,"January 15, 2018",BTC,Kucoin
Sell,0.00310545,0.264744,NEO,0.00000311,COMPLETED,"January 15, 2018",BTC,Kucoin
Sell,0.00067932,0.057913,NEO,0.00000068,COMPLETED,"January 15, 2018",BTC,Kucoin
Buy,0.00378099,0.317197,NEO,0.0003172,COMPLETED,"January 15, 2018",BTC,Kucoin
Sell,0.00411626,0.316879,NEO,0.00000412,COMPLETED,"January 15, 2018",BTC,Kucoin
Buy,0.00411213,0.330584,NEO,0.00033058,COMPLETED,"January 15, 2018",BTC,Kucoin
Sell,0.0039862,0.330254,NEO,0.00000399,COMPLETED,"January 15, 2018",BTC,Kucoin
Buy,0.00398222,0.296076,NEO,0.00029608,COMPLETED,"January 16, 2018",BTC,Kucoin
Sell,0.00399303,0.29578,NEO,0.00000399,COMPLETED,"January 16, 2018",BTC,Kucoin
Buy,0.00396339,0.288246,NEO,0.00028825,COMPLETED,"January 16, 2018",BTC,Kucoin
Sell,0.00403203,0.287957,NEO,0.00000403,COMPLETED,"January 16, 2018",BTC,Kucoin
Buy,0.00403563,0.299157,NEO,0.00029916,COMPLETED,"January 16, 2018",BTC,Kucoin
Sell,0.00421391,0.298858,NEO,0.00000421,COMPLETED,"January 16, 2018",BTC,Kucoin
Sell,92.0689921,0.100512,ETH,0.09206899,COMPLETED,"January 17, 2018",USDT,Kucoin
Buy,4.66523102,0.005121,ETH,0.00000512,COMPLETED,"January 17, 2018",USDT,Kucoin
Buy,87.31024029,0.09584,ETH,0.00009584,COMPLETED,"January 17, 2018",USDT,Kucoin
Buy,0.000911,0.000001,ETH,0,COMPLETED,"January 17, 2018",USDT,Kucoin
Sell,18.51321246,0.021204,ETH,0.01851321,COMPLETED,"January 17, 2018",USDT,Kucoin
Sell,69.54765384,0.079656,ETH,0.06954765,COMPLETED,"January 17, 2018",USDT,Kucoin
Sell,0.0008731,0.000001,ETH,0.00000087,COMPLETED,"January 17, 2018",USDT,Kucoin
Buy,81.08380988,0.093847,ETH,0.00009385,COMPLETED,"January 17, 2018",USDT,Kucoin
Buy,6.89040016,0.007975,ETH,0.00000798,COMPLETED,"January 17, 2018",USDT,Kucoin
Sell,87.886944,0.101721,ETH,0.08788694,COMPLETED,"January 17, 2018",USDT,Kucoin
Buy,87.79890676,0.103146,ETH,0.00010315,COMPLETED,"January 17, 2018",USDT,Kucoin
Sell,87.60733923,0.103042,ETH,0.08760734,COMPLETED,"January 17, 2018",USDT,Kucoin
Buy,87.51900423,0.091584,ETH,0.00009158,COMPLETED,"January 17, 2018",USDT,Kucoin
Buy,0.09149289,0.653516,NEO,0.00065352,COMPLETED,"January 17, 2018",ETH,Kucoin
Buy,0.00000028,0.000002,NEO,0,COMPLETED,"January 17, 2018",ETH,Kucoin
Sell,0.09303261,0.652865,NEO,0.00009303,COMPLETED,"January 17, 2018",ETH,Kucoin
Buy,0.09293959,0.659146,NEO,0.00065915,COMPLETED,"January 17, 2018",ETH,Kucoin
Sell,0.09482213,0.658487,NEO,0.00009482,COMPLETED,"January 17, 2018",ETH,Kucoin
Buy,0.09472732,0.657363,NEO,0.00065736,COMPLETED,"January 17, 2018",ETH,Kucoin
Sell,0.09456552,0.656705,NEO,0.00009457,COMPLETED,"January 17, 2018",ETH,Kucoin
Buy,0.09447092,0.674773,NEO,0.00067477,COMPLETED,"January 17, 2018",ETH,Kucoin
Sell,0.0957118,0.674098,NEO,0.00009571,COMPLETED,"January 17, 2018",ETH,Kucoin
Sell,0.0684954,0.38053,LTC,0.0000685,COMPLETED,"January 17, 2018",ETH,Kucoin
Sell,0.00477647,0.0524,ETH,0.00000478,COMPLETED,"January 19, 2018",BTC,Kucoin
Sell,103.3762227,0.00899941,BTC,0.10337622,COMPLETED,"January 19, 2018",USDT,Kucoin
Buy,103.2736311,0.00904098,BTC,0.00000904,COMPLETED,"January 19, 2018",USDT,Kucoin
Sell,103.4880018,0.00903194,BTC,0.103488,COMPLETED,"January 19, 2018",USDT,Kucoin
Buy,103.3845479,0.00906882,BTC,0.00000907,COMPLETED,"January 19, 2018",USDT,Kucoin
Sell,103.2819467,0.099993,ETH,0.10328195,COMPLETED,"January 19, 2018",USDT,Kucoin
Buy,103.1786207,0.101419,ETH,0.00010142,COMPLETED,"January 19, 2018",USDT,Kucoin
Sell,47.11660124,0.00426616,BTC,0.0471166,COMPLETED,"January 19, 2018",USDT,Kucoin
Sell,52.94520155,0.00479359,BTC,0.0529452,COMPLETED,"January 19, 2018",USDT,Kucoin
Buy,0.6556352,0.00006116,BTC,0.00000006,COMPLETED,"January 19, 2018",USDT,Kucoin
Buy,99.3062208,0.00926364,BTC,0.00000926,COMPLETED,"January 19, 2018",USDT,Kucoin
Sell,66.76312486,0.068475,ETH,0.06676312,COMPLETED,"January 19, 2018",USDT,Kucoin
Sell,32.02094993,0.032842,ETH,0.03202095,COMPLETED,"January 19, 2018",USDT,Kucoin
Buy,98.68455386,0.103011,ETH,0.00010301,COMPLETED,"January 19, 2018",USDT,Kucoin
Sell,0.0001056,0.00000001,BTC,0.00000011,COMPLETED,"January 19, 2018",USDT,Kucoin
Sell,98.37229475,0.00931547,BTC,0.09837229,COMPLETED,"January 19, 2018",USDT,Kucoin
Buy,98.27476192,0.0089483,BTC,0.00000895,COMPLETED,"January 19, 2018",USDT,Kucoin
Sell,97.43891498,0.00893935,BTC,0.09743891,COMPLETED,"January 19, 2018",USDT,Kucoin
Buy,97.34145569,0.00846006,BTC,0.00000846,COMPLETED,"January 19, 2018",USDT,Kucoin
Sell,96.3566916,0.0084516,BTC,0.09635669,COMPLETED,"January 19, 2018",USDT,Kucoin
Buy,96.260304,0.00859467,BTC,0.00000859,COMPLETED,"January 20, 2018",USDT,Kucoin
Sell,95.46003494,0.00858608,BTC,0.09546003,COMPLETED,"January 20, 2018",USDT,Kucoin
Buy,95.36460314,0.00854828,BTC,0.00000855,COMPLETED,"January 20, 2018",USDT,Kucoin
Sell,3.44266532,0.00031038,BTC,0.00344267,COMPLETED,"January 20, 2018",USDT,Kucoin
Sell,5.58038324,0.00050311,BTC,0.00558038,COMPLETED,"January 20, 2018",USDT,Kucoin
Sell,85.69772057,0.00772624,BTC,0.08569772,COMPLETED,"January 20, 2018",USDT,Kucoin
Buy,94.62599715,0.00859455,BTC,0.00000859,COMPLETED,"January 20, 2018",USDT,Kucoin
